id_venda,id_cliente,id_produto,canal_venda,valor,data_venda
1,2188,45,Loja Online,4912.13,2023-03-11
2,1402,35,Loja Física,1390.88,2022-03-09
3,3109,18,Loja Física,5508.45,2023-10-28
4,459,15,Loja Online,6459.86,2024-08-13
5,3287,18,Loja Online,1766.76,2025-08-04
6,2578,14,Revendedor,3225.49,2020-12-14
7,3759,10,Marketplace,1203.08,2023-10-17
8,2153,48,Revendedor,7192.8,2023-12-21
9,3272,24,Loja Física,7978.87,2021-02-19
10,1134,33,Revendedor,818.18,2022-03-30
11,386,8,Loja Física,5056.82,2021-10-19
12,3459,39,Loja Online,3139.66,2021-05-03
13,3835,34,Marketplace,7771.52,2024-05-28
14,95,44,Loja Online,5485.51,2023-04-15
15,2186,50,Marketplace,981.26,2022-09-11
16,3562,11,Revendedor,125.64,2020-12-04
17,2158,33,Loja Física,4110.69,2023-12-19
18,872,41,Marketplace,6749.19,2021-04-14
19,4159,39,Loja Física,1307.43,2022-12-30
20,1324,35,Loja Online,4831.66,2022-01-27
21,4003,2,Loja Online,7439.88,2023-07-05
22,2520,16,Loja Online,2002.89,2023-01-10
23,646,6,Revendedor,6546.58,2020-10-14
24,1031,9,Revendedor,7580.1,2024-02-29
25,1353,17,Revendedor,7718.47,2024-08-04
26,1648,46,Marketplace,3252.04,2022-04-28
27,3060,29,Revendedor,1055.93,2023-02-25
28,1841,5,Marketplace,266.17,2025-08-09
29,1886,38,Loja Física,156.81,2021-01-25
30,483,15,Loja Online,7252.82,2023-12-08
31,2707,5,Loja Física,2299.97,2022-02-05
32,3977,14,Loja Física,5814.49,2020-12-01
33,3873,16,Revendedor,6479.23,2020-10-10
34,1560,7,Loja Online,5305.96,2025-04-05
35,2903,28,Revendedor,3789.49,2022-10-19
36,444,44,Loja Online,578.84,2022-05-19
37,2780,52,Loja Online,2064.39,2024-06-16
38,1559,35,Revendedor,1207.44,2024-08-13
39,1504,18,Revendedor,2073.47,2021-04-19
40,618,29,Loja Online,499.65,2022-08-01
41,121,6,Loja Física,1413.86,2022-11-02
42,3979,31,Loja Física,6930.74,2024-01-06
43,481,11,Revendedor,117.03,2022-05-16
44,3199,17,Revendedor,2353.47,2022-12-07
45,3987,10,Loja Física,2443.99,2022-03-19
46,480,38,Loja Online,6009.01,2021-08-31
47,469,4,Revendedor,4072.52,2025-06-21
48,1290,4,Loja Online,6825.61,2024-10-23
49,562,39,Loja Online,5434.18,2023-06-02
50,1927,26,Loja Online,7538.61,2021-09-08
51,2017,38,Loja Online,4993.11,2022-08-01
52,3435,43,Marketplace,7484.18,2023-09-27
53,1674,43,Marketplace,1985.62,2022-05-09
54,3243,9,Marketplace,3712.07,2024-07-16
55,595,1,Revendedor,5007.16,2021-05-31
56,820,5,Loja Física,4096.49,2022-12-21
57,1086,23,Loja Online,7046.23,2022-07-30
58,3028,19,Loja Física,3561.66,2022-03-24
59,2479,40,Loja Online,5376.12,2023-08-02
60,2453,43,Loja Online,7517.55,2022-05-21
61,1101,17,Loja Online,7128.73,2021-03-27
62,1274,18,Marketplace,4878.16,2023-10-22
63,2809,14,Marketplace,4092.73,2022-07-05
64,2058,4,Loja Online,5110.85,2021-01-22
65,2267,3,Loja Online,2735.1,2023-01-28
66,1072,41,Marketplace,1376.5,2020-09-13
67,3620,36,Revendedor,4531.16,2022-06-24
68,917,5,Loja Física,4410.16,2024-01-02
69,3025,38,Loja Física,3495.32,2023-06-24
70,343,20,Marketplace,7201.95,2022-10-15
71,327,23,Loja Física,5488.33,2024-03-16
72,843,23,Revendedor,7793.31,2022-02-13
73,1267,16,Loja Física,7812.03,2022-07-11
74,1451,27,Loja Online,1516.95,2022-09-01
75,2722,51,Revendedor,6437.66,2022-04-19
76,2033,18,Loja Física,6320.26,2020-12-10
77,886,25,Loja Online,6882.89,2022-01-11
78,1823,13,Revendedor,2862.3,2023-04-28
79,1865,15,Loja Online,5314.26,2021-01-15
80,3265,22,Marketplace,6928.39,2023-11-25
81,2287,23,Revendedor,5468.19,2020-12-26
82,2713,2,Loja Online,7028.6,2022-06-08
83,2140,12,Marketplace,402.23,2021-08-17
84,3560,23,Marketplace,3547.51,2021-08-02
85,4190,8,Revendedor,7206.09,2023-09-02
86,1558,17,Loja Online,5699.4,2024-08-07
87,14,34,Loja Física,2977.35,2025-08-16
88,574,43,Marketplace,5022.93,2022-05-02
89,1021,47,Marketplace,4106.27,2020-11-13
90,3346,21,Revendedor,5607.95,2022-04-27
91,1043,13,Revendedor,5352.94,2020-10-06
92,3106,44,Loja Física,4962.57,2023-09-23
93,2466,26,Loja Online,2500.61,2022-03-15
94,1722,28,Marketplace,3773.41,2021-01-19
95,3623,44,Loja Física,4138.27,2021-06-06
96,1391,43,Loja Online,2341.91,2021-06-04
97,2746,6,Loja Física,5415.09,2025-02-18
98,1841,52,Loja Física,1264.1,2022-11-01
99,379,16,Revendedor,4929.06,2021-11-21
100,597,30,Revendedor,7100.48,2024-01-08
